"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",1,0,2.14929697953183,1.69287118951196,0.163287025083919
"mu",1,1,2.12492085448209,1.67134312858705,0.135474709344827
"mu",1,2,2.18077163185456,1.7432907600909,0.159099882597139
"mu",1,3,1.98820558150111,1.56808498207112,0.153766603692028
"mu",1,4,2.15815864449432,1.68793347077145,0.14789498425391
"mu",1,5,2.05869973517971,1.6199407748086,0.1381612594914
"mu",1,6,2.20267100873924,1.76379260702646,0.158271799673214
"mu",1,7,2.17767229979445,1.68404583620011,0.154770361095491
"mu",1,8,2.08548017398494,1.65749975129449,0.151542758545142
"mu",1,9,2.23403613957198,1.71279147947896,0.145889455308613
"mu",1,10,2.07280314902822,1.59185252632848,0.142420341114498
"mu",1,11,2.18669353108625,1.70250975461411,0.136764997033193
"mu",1,12,2.20873293599197,1.69316892504242,0.150619434649582
"mu",1,13,2.15057689166671,1.74469263578962,0.166016968804994
"mu",1,14,2.10850458506318,1.64301518455038,0.146323393920422
"mu",1,15,2.04618078756422,1.58930523558921,0.150268924822347
"mu",1,16,2.16693425515435,1.68743942669787,0.147228365660619
"mu",1,17,2.12941109401666,1.68893268978282,0.150387768395515
"mu",1,18,2.01366712701103,1.62105271388998,0.153107062590094
"mu",1,19,2.06043763406101,1.64704597292051,0.162034994727853
"mu",1,20,2.05355147701981,1.64304846834032,0.152657692745603
"mu",1,21,2.20306861883419,1.85624295935212,0.156213558019706
"mu",1,22,2.14440164332582,1.74010104171689,0.165414465550226
"mu",1,23,2.03014509757974,1.58494586804172,0.148992909514356
"mu",1,24,2.17173301068811,1.75710890402465,0.157038966736706
"mu",1,25,2.31039792114005,1.87214506849973,0.154973024779657
"mu",1,26,2.08095246293607,1.63943317131476,0.156787271536969
"mu",1,27,2.26882306111696,1.81551049009583,0.151498686460229
"mu",1,28,2.11776323078379,1.70358295427474,0.162154313258933
"mu",1,29,2.2705806706195,1.83177537179365,0.156414831773329
"mu",1,30,2.00866075900583,1.59528217028725,0.146485867312638
"mu",1,31,2.03207447919678,1.58937350381619,0.147866300391846
"mu",1,32,2.0525230076557,1.69333270115448,0.183688351319389
"mu",1,33,2.26061503717222,1.86888295332421,0.188439941668979
"mu",1,34,2.08742297622469,1.67493777342681,0.157907385987736
"mu",1,35,2.15976275744041,1.67939386763679,0.148569782385745
"mu",1,36,2.20538664513123,1.72437306657699,0.15449418829881
"mu",1,37,2.18083360801275,1.76388713383086,0.167151589746548
"mu",1,38,2.1794961277802,1.77300598476397,0.165200129692776
"mu",1,39,2.09896154209385,1.71758430758127,0.149293893079646
"mu",1,40,2.11715804746407,1.70694408678676,0.158614803822366
"mu",1,41,2.10070334969623,1.656416943187,0.149549168669744
"mu",1,42,2.33259804435766,1.82994129351383,0.144542206987989
"mu",1,43,2.21996081551005,1.7660939684497,0.161810592081835
"mu",1,44,2.06358474292442,1.69080255999944,0.160564082534472
"mu",1,45,2.17246349178076,1.72569796423817,0.163612046099034
"mu",1,46,2.16009783782488,1.71406623985874,0.148780114903003
"mu",1,47,2.17829900846503,1.73457024204906,0.149717020640912
"mu",1,48,2.07071645587625,1.66181910498769,0.155132181338667
"mu",1,49,2.05547949207134,1.60081655769916,0.14301161065572
"mu",1,50,2.13221726532476,1.75898068479924,0.146721493553078
"mu",1,51,2.12511745875011,1.70472798074536,0.154712266195721
"mu",1,52,2.15993007791132,1.6596156827414,0.154751772281535
"mu",1,53,1.96500779123321,1.57378664029241,0.153872218911934
"mu",1,54,2.01828560636815,1.56542125382933,0.159236417405888
"mu",1,55,2.13276279830237,1.66292932425775,0.145294333706219
"mu",1,56,2.31859552164043,1.87531586532917,0.170994833387038
"mu",1,57,2.09351758819375,1.67079409074073,0.148891610956552
"mu",1,58,2.23131743724367,1.84685896544945,0.156629076037237
"mu",1,59,2.09454027362134,1.65797440433385,0.144691191307711
"mu",1,60,2.31290142379983,1.85405161392002,0.161835382889502
"mu",1,61,2.31930529725667,1.89260040092752,0.14972711366067
"mu",1,62,2.17879582664408,1.73896737713877,0.169346408831434
"mu",1,63,2.21052154387145,1.79745401186794,0.152884515119215
"mu",1,64,2.13673508431471,1.69809466489604,0.158855868799631
"mu",1,65,1.9237631068019,1.50451463025325,0.155375948910847
"mu",1,66,2.29582292958456,1.84882719760162,0.163799244003495
"mu",1,67,2.14248688766867,1.75669262889561,0.174363667581895
"mu",1,68,2.27281869707296,1.77940744683034,0.161443570466361
"mu",1,69,1.95499408668377,1.5398277498763,0.151513813993568
"mu",1,70,2.1803781969922,1.72247072580342,0.154096534919191
"mu",1,71,2.33695305310784,1.87063980478129,0.166435061723618
"mu",1,72,2.21145150768656,1.75323528762301,0.157395147427639
"mu",1,73,2.24540980345812,1.79148871911572,0.152868022691999
"mu",1,74,2.05702438972673,1.71434390960381,0.174052942720518
"mu",1,75,2.14553083969009,1.70167730005672,0.151699223278603
"mu",1,76,2.12703988574126,1.62052047043948,0.145431972277311
"mu",1,77,2.28306672184849,1.78307341038217,0.157546142085031
"mu",1,78,2.11209517744808,1.67152988169801,0.144773375796864
"mu",1,79,2.1976768306316,1.70585892130368,0.157592543992664
"mu",1,80,2.12407897277158,1.66994390540641,0.166355355592391
"mu",1,81,2.05720735883442,1.61081902134612,0.159238624700317
"mu",1,82,2.2885312448726,1.83723678046928,0.152275609239832
"mu",1,83,2.24817078006215,1.86194897066253,0.158630860741846
"mu",1,84,2.18449616317009,1.74868315475003,0.16689193329161
"mu",1,85,2.1573676971132,1.68858813709306,0.162572960181861
"mu",1,86,2.29480203884731,1.76767260323219,0.145253133547227
"mu",1,87,2.09088235802341,1.66718053942933,0.15296890498711
"mu",1,88,2.04315670815473,1.68668294775866,0.154885101366887
