panel,true_value,rep,nn_width_mu,nn_width_sigma,nn_width_xi
mu,1.0,0,2.1994619944460103,2.020198302421612,0.15791809707880022
mu,1.0,1,2.393184605520554,1.9330069237079925,0.166875896602869
mu,1.0,2,2.2910241753870357,2.0139745070854786,0.17132666260004042
mu,1.0,3,2.1081656093296424,1.8573788513750973,0.17134249433875082
mu,1.0,4,2.3023423112937396,2.0959122335586216,0.16558823958039282
mu,1.0,5,2.3311467987405003,1.9520939838361606,0.17276716530323027
mu,1.0,6,2.1022045985253284,2.1594555851703507,0.16999686583876605
mu,1.0,7,2.267655252520814,2.0054796375526944,0.16362413205206394
mu,1.0,8,2.2256624574010804,1.9412517600401795,0.1633619494736194
mu,1.0,9,2.422363352902012,1.9595594792268294,0.15925741493701934
mu,1.0,10,2.06240719806886,1.724971041366155,0.15381359867751598
mu,1.0,11,2.244637245116048,1.9533076452267935,0.1649671800434589
mu,1.0,12,2.2475675491582194,1.857781489698187,0.1616569101810455
mu,1.0,13,2.273864551857621,2.034140555200704,0.17503231316804882
mu,1.0,14,2.1442186089654847,1.8699958739145845,0.15923309251666068
mu,1.0,15,2.084168180182711,1.8487914072362273,0.17048665732145307
mu,1.0,16,2.065452330276233,1.7909597781360933,0.16495433263480658
mu,1.0,17,2.2067848033366477,1.88119931117269,0.15490213111042975
mu,1.0,18,2.1319620379527517,1.8149497639639574,0.17527155727148053
mu,1.0,19,2.057359252758056,1.8669233044395295,0.17150562405586237
mu,1.0,20,2.06552707026915,2.0286823327578265,0.17794224247336385
mu,1.0,21,2.36619018984359,2.178782830311224,0.16075751781463624
mu,1.0,22,2.113962864635854,2.0831639654773717,0.17905803173780438
mu,1.0,23,2.2466677048578045,1.8152823930162931,0.15608874559402464
mu,1.0,24,2.3081152668252933,2.1090625497758406,0.17314977869391437
mu,1.0,25,2.28606374648549,2.0728938886206,0.16710465997457502
mu,1.0,26,2.1232021729147177,1.8203017807318815,0.16759595721960063
mu,1.0,27,2.4684589318204995,2.1558199930647266,0.17121068760752675
mu,1.0,28,2.2131335443670372,2.0564912990354554,0.18235169798135753
mu,1.0,29,2.4290545986583187,2.238878471161387,0.16052175834774968
mu,1.0,30,2.0365004611836297,1.9101005383298126,0.1649959057569504
mu,1.0,31,2.115908360655536,1.877921723945331,0.16567226871848106
mu,1.0,32,2.039546358393351,1.8860180598581682,0.17510048747062681
mu,1.0,33,2.2709712384968164,2.28578463877947,0.18977103531360626
mu,1.0,34,2.1657442778575717,1.883181103076602,0.1628076195716858
mu,1.0,35,2.056705013345952,1.882941020017828,0.1628232717514038
mu,1.0,36,2.388629102372601,2.2587698906374456,0.16264219135046
mu,1.0,37,2.422301082929184,2.0837311861915904,0.16159913092851635
mu,1.0,38,2.3573895670314493,2.0948775669361037,0.16585278958082197
mu,1.0,39,2.306853174851743,2.15330611859701,0.17987765967845915
mu,1.0,40,2.361141360914708,2.2156938937926434,0.17388462498784063
mu,1.0,41,2.149213746209174,1.9814040052253556,0.16759708672761917
mu,1.0,42,2.4537518396360616,2.1355352351951726,0.1578684225678444
mu,1.0,43,2.3217802008185733,2.027372011783539,0.16784010231494906
mu,1.0,44,2.215883709418019,1.9485364588863678,0.1697862520813942
mu,1.0,45,2.339269638257989,2.044543806079753,0.1657538339495659
