panel,true_value,rep,file_path
mu,1.0,0,figure4_samples\mu_true_1.000000_rep_000.npy
mu,1.0,1,figure4_samples\mu_true_1.000000_rep_001.npy
mu,1.0,2,figure4_samples\mu_true_1.000000_rep_002.npy
mu,1.0,3,figure4_samples\mu_true_1.000000_rep_003.npy
mu,1.0,4,figure4_samples\mu_true_1.000000_rep_004.npy
mu,1.0,5,figure4_samples\mu_true_1.000000_rep_005.npy
mu,1.0,6,figure4_samples\mu_true_1.000000_rep_006.npy
mu,1.0,7,figure4_samples\mu_true_1.000000_rep_007.npy
mu,1.0,8,figure4_samples\mu_true_1.000000_rep_008.npy
mu,1.0,9,figure4_samples\mu_true_1.000000_rep_009.npy
mu,1.0,10,figure4_samples\mu_true_1.000000_rep_010.npy
mu,1.0,11,figure4_samples\mu_true_1.000000_rep_011.npy
mu,1.0,12,figure4_samples\mu_true_1.000000_rep_012.npy
mu,1.0,13,figure4_samples\mu_true_1.000000_rep_013.npy
mu,1.0,14,figure4_samples\mu_true_1.000000_rep_014.npy
mu,1.0,15,figure4_samples\mu_true_1.000000_rep_015.npy
mu,1.0,16,figure4_samples\mu_true_1.000000_rep_016.npy
mu,1.0,17,figure4_samples\mu_true_1.000000_rep_017.npy
mu,1.0,18,figure4_samples\mu_true_1.000000_rep_018.npy
mu,1.0,19,figure4_samples\mu_true_1.000000_rep_019.npy
mu,1.0,20,figure4_samples\mu_true_1.000000_rep_020.npy
mu,1.0,21,figure4_samples\mu_true_1.000000_rep_021.npy
mu,1.0,22,figure4_samples\mu_true_1.000000_rep_022.npy
mu,1.0,23,figure4_samples\mu_true_1.000000_rep_023.npy
mu,1.0,24,figure4_samples\mu_true_1.000000_rep_024.npy
mu,1.0,25,figure4_samples\mu_true_1.000000_rep_025.npy
mu,1.0,26,figure4_samples\mu_true_1.000000_rep_026.npy
mu,1.0,27,figure4_samples\mu_true_1.000000_rep_027.npy
mu,1.0,28,figure4_samples\mu_true_1.000000_rep_028.npy
mu,1.0,29,figure4_samples\mu_true_1.000000_rep_029.npy
mu,1.0,30,figure4_samples\mu_true_1.000000_rep_030.npy
mu,1.0,31,figure4_samples\mu_true_1.000000_rep_031.npy
mu,1.0,32,figure4_samples\mu_true_1.000000_rep_032.npy
mu,1.0,33,figure4_samples\mu_true_1.000000_rep_033.npy
mu,1.0,34,figure4_samples\mu_true_1.000000_rep_034.npy
mu,1.0,35,figure4_samples\mu_true_1.000000_rep_035.npy
mu,1.0,36,figure4_samples\mu_true_1.000000_rep_036.npy
mu,1.0,37,figure4_samples\mu_true_1.000000_rep_037.npy
mu,1.0,38,figure4_samples\mu_true_1.000000_rep_038.npy
mu,1.0,39,figure4_samples\mu_true_1.000000_rep_039.npy
mu,1.0,40,figure4_samples\mu_true_1.000000_rep_040.npy
mu,1.0,41,figure4_samples\mu_true_1.000000_rep_041.npy
mu,1.0,42,figure4_samples\mu_true_1.000000_rep_042.npy
mu,1.0,43,figure4_samples\mu_true_1.000000_rep_043.npy
mu,1.0,44,figure4_samples\mu_true_1.000000_rep_044.npy
mu,1.0,45,figure4_samples\mu_true_1.000000_rep_045.npy
mu,1.0,46,figure4_samples\mu_true_1.000000_rep_046.npy
mu,1.0,47,figure4_samples\mu_true_1.000000_rep_047.npy
mu,1.0,48,figure4_samples\mu_true_1.000000_rep_048.npy
mu,1.0,49,figure4_samples\mu_true_1.000000_rep_049.npy
mu,1.0,50,figure4_samples\mu_true_1.000000_rep_050.npy
mu,1.0,51,figure4_samples\mu_true_1.000000_rep_051.npy
mu,1.0,52,figure4_samples\mu_true_1.000000_rep_052.npy
mu,1.0,53,figure4_samples\mu_true_1.000000_rep_053.npy
mu,1.0,54,figure4_samples\mu_true_1.000000_rep_054.npy
mu,1.0,55,figure4_samples\mu_true_1.000000_rep_055.npy
mu,1.0,56,figure4_samples\mu_true_1.000000_rep_056.npy
mu,1.0,57,figure4_samples\mu_true_1.000000_rep_057.npy
mu,1.0,58,figure4_samples\mu_true_1.000000_rep_058.npy
mu,1.0,59,figure4_samples\mu_true_1.000000_rep_059.npy
mu,1.0,60,figure4_samples\mu_true_1.000000_rep_060.npy
mu,1.0,61,figure4_samples\mu_true_1.000000_rep_061.npy
mu,1.0,62,figure4_samples\mu_true_1.000000_rep_062.npy
