experiment,scenario,parameter,kernel,RMSE,length_scale,nu,metric
original_station_input,annual,mu,Matern,2.078086585576501,5.0,0.5,RMSE
original_station_input,annual,mu,RBF,2.471700241639088,5.0,,RMSE
original_station_input,annual,sigma,Matern,3.870187108598624,0.35,0.5,RMSE
original_station_input,annual,sigma,RBF,3.925144786035237,0.05,,RMSE
original_station_input,annual,xi,Matern,0.0413388137934646,0.05,0.5,RMSE
original_station_input,annual,xi,RBF,0.0422518864771273,0.05,,RMSE
original_station_input,annual,overall,Matern,2.67840134595294,1.65,0.5,RMSE
original_station_input,annual,overall,RBF,3.232118583915065,5.0,,RMSE
original_station_input,annual,overall_standardized,Matern,2.0101069679490204,0.15,0.5,standardized_RMSE
original_station_input,annual,overall_standardized,RBF,2.034542401493334,0.05,,standardized_RMSE
original_station_input,monthly,mu,Matern,1.722465182974454,5.0,0.5,RMSE
original_station_input,monthly,mu,RBF,2.539293085318996,0.65,,RMSE
original_station_input,monthly,sigma,Matern,3.0631449391712007,3.35,2.5,RMSE
original_station_input,monthly,sigma,RBF,3.1762910790933887,0.65,,RMSE
original_station_input,monthly,xi,Matern,0.0258651348970899,0.45,0.5,RMSE
original_station_input,monthly,xi,RBF,0.030023049212723,0.05,,RMSE
original_station_input,monthly,overall,Matern,2.087472617117576,5.0,0.5,RMSE
original_station_input,monthly,overall,RBF,2.3484480934029714,0.65,,RMSE
original_station_input,monthly,overall_standardized,Matern,1.533309623384069,1.15,0.5,standardized_RMSE
original_station_input,monthly,overall_standardized,RBF,1.6589490667609226,0.15,,standardized_RMSE
gridded_input,annual_45,mu,Matern,0.07223516889657779,,2.5,standardized_RMSE
gridded_input,annual_45,mu,RBF,0.06845525457173936,,,standardized_RMSE
gridded_input,annual_45,sigma,Matern,2.6788278827634344,,0.5,standardized_RMSE
gridded_input,annual_45,sigma,RBF,2.687381927560561,,,standardized_RMSE
gridded_input,annual_45,xi,Matern,4.256002346296059,,0.5,standardized_RMSE
gridded_input,annual_45,xi,RBF,3.861605537166735,,,standardized_RMSE
gridded_input,annual_45,overall,Matern,0.2501961138072817,,2.5,RMSE
gridded_input,annual_45,overall,RBF,0.24682140413312273,,,RMSE
gridded_input,annual_45,overall_standardized,Matern,2.9041377507571546,,0.5,standardized_RMSE
gridded_input,annual_45,overall_standardized,RBF,2.7165360952957713,,,standardized_RMSE
gridded_input,monthly_540,mu,Matern,0.025950108914167786,,2.5,standardized_RMSE
gridded_input,monthly_540,mu,RBF,0.01927349579021855,,,standardized_RMSE
gridded_input,monthly_540,sigma,Matern,1.4420489665237237,,1.5,standardized_RMSE
gridded_input,monthly_540,sigma,RBF,1.4259944705255723,,,standardized_RMSE
gridded_input,monthly_540,xi,Matern,1.030043230256726,,0.5,standardized_RMSE
gridded_input,monthly_540,xi,RBF,1.0517292121081505,,,standardized_RMSE
gridded_input,monthly_540,overall,Matern,0.12488133403525598,,2.5,RMSE
gridded_input,monthly_540,overall,RBF,0.12187581936906394,,,RMSE
gridded_input,monthly_540,overall_standardized,Matern,1.0248114376379165,,0.5,standardized_RMSE
gridded_input,monthly_540,overall_standardized,RBF,1.0230617500442996,,,standardized_RMSE
